fixed,noise,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,False,10,0.005,100,100,0.99,3,2,7,1,,820,1.03561,0.062293,0.74
True,False,10,0.005,100,100,0.99,3,2,7,1,,830,0.433617,0.0438201,0.86
True,False,10,0.005,100,100,0.99,3,2,7,1,,840,0.421779,0.0454176,0.85
True,False,10,0.005,100,100,0.99,3,2,7,1,,850,0.330957,0.0403737,0.89
True,False,10,0.005,100,100,0.99,3,2,7,1,,860,0.260175,0.0350391,0.91
True,False,10,0.005,100,100,0.99,3,2,7,1,,870,0.252149,0.0361185,0.9
True,False,10,0.005,100,100,0.99,3,2,7,1,,880,0.272151,0.0376642,0.92
True,False,10,0.005,100,100,0.99,3,2,7,1,,890,0.196215,0.0321034,0.94
True,False,10,0.005,100,100,0.99,3,2,7,1,,900,0.284183,0.035514,0.92
True,False,10,0.005,100,100,0.99,3,2,7,1,,910,1.29654,0.0584191,0.74
True,False,10,0.005,100,100,0.99,3,2,7,1,,920,0.573736,0.044575,0.86
True,False,10,0.005,100,100,0.99,3,2,7,1,,930,0.298658,0.0351311,0.92
True,False,10,0.005,100,100,0.99,3,2,7,1,,940,0.202449,0.0293195,0.93
True,False,10,0.005,100,100,0.99,3,2,7,1,,950,0.182351,0.0293637,0.93
True,False,10,0.005,100,100,0.99,3,2,7,1,,960,0.29532,0.0315872,0.93
True,False,10,0.005,100,100,0.99,3,2,7,1,,970,0.173612,0.0287581,0.93
True,False,10,0.005,100,100,0.99,3,2,7,1,,980,0.0892867,0.0197099,0.97
True,False,10,0.005,100,100,0.99,3,2,7,1,,990,0.17325,0.0277548,0.94
True,False,10,0.005,100,100,0.99,3,2,7,1,,-1,3.42591,0.0816305,0.57
False,True,10,0.005,100,100,0.99,3,2,7,1,,0,5.12279,0.101159,0.02
False,True,10,0.005,100,100,0.99,3,2,7,1,,10,4.75522,0.100354,0.01
False,True,10,0.005,100,100,0.99,3,2,7,1,,20,4.55127,0.099934,0.01
False,True,10,0.005,100,100,0.99,3,2,7,1,,30,4.32402,0.0994797,0.02
False,True,10,0.005,100,100,0.99,3,2,7,1,,40,4.14092,0.0991113,0.02
False,True,10,0.005,100,100,0.99,3,2,7,1,,50,4.03447,0.098979,0.05
False,True,10,0.005,100,100,0.99,3,2,7,1,,60,3.98629,0.098913,0.06
False,True,10,0.005,100,100,0.99,3,2,7,1,,70,3.96889,0.0989024,0.05
False,True,10,0.005,100,100,0.99,3,2,7,1,,80,3.95013,0.0988621,0.04
False,True,10,0.005,100,100,0.99,3,2,7,1,,90,3.92259,0.0988047,0.05
False,True,10,0.005,100,100,0.99,3,2,7,1,,100,3.9465,0.098917,0.05
False,True,10,0.005,100,100,0.99,3,2,7,1,,110,5.2253,0.0996806,0.01
False,True,10,0.005,100,100,0.99,3,2,7,1,,120,4.71856,0.0993078,0.01
False,True,10,0.005,100,100,0.99,3,2,7,1,,130,4.65091,0.099728,0.0
False,True,10,0.005,100,100,0.99,3,2,7,1,,140,4.3839,0.0988336,0.04
False,True,10,0.005,100,100,0.99,3,2,7,1,,150,4.10752,0.0985055,0.04
False,True,10,0.005,100,100,0.99,3,2,7,1,,160,3.96394,0.098067,0.07
False,True,10,0.005,100,100,0.99,3,2,7,1,,170,3.87835,0.0973776,0.09
False,True,10,0.005,100,100,0.99,3,2,7,1,,180,3.83319,0.0968219,0.11
False,True,10,0.005,100,100,0.99,3,2,7,1,,190,3.76971,0.0964696,0.13
False,True,10,0.005,100,100,0.99,3,2,7,1,,200,3.7148,0.0959532,0.1
False,True,10,0.005,100,100,0.99,3,2,7,1,,210,4.87652,0.0993926,0.03
False,True,10,0.005,100,100,0.99,3,2,7,1,,220,4.7114,0.0996997,0.0
False,True,10,0.005,100,100,0.99,3,2,7,1,,230,4.50916,0.0989067,0.05
False,True,10,0.005,100,100,0.99,3,2,7,1,,240,4.37643,0.0988116,0.05
False,True,10,0.005,100,100,0.99,3,2,7,1,,250,4.26173,0.0986765,0.03
False,True,10,0.005,100,100,0.99,3,2,7,1,,260,4.17624,0.0985077,0.06
