cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1630,9.76775,0.00493644,0.0261792,3.19031,0.00488971,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1640,9.75176,0.00496684,0.0323113,3.19649,0.00494137,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1650,9.71951,0.00492156,0.0271226,3.19787,0.00486252,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1660,9.66026,0.00496686,0.0667453,3.22952,0.00491467,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1670,9.61676,0.00496545,0.0648585,3.1988,0.00492907,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1680,9.60096,0.00496215,0.0292453,3.20545,0.00491024,0.025
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1690,9.53312,0.00495037,0.0299528,3.19941,0.00489648,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1700,9.47258,0.00493825,0.029717,3.18109,0.00490422,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1710,9.46424,0.00494799,0.0629717,3.22523,0.00493446,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1720,9.4769,0.00495276,0.0332547,3.24142,0.0049601,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1730,9.4181,0.00495841,0.0662736,3.19371,0.00493364,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1740,9.30764,0.0049464,0.0617925,3.22594,0.00492299,0.025
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1750,9.27413,0.00495919,0.0410377,3.21307,0.00493186,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1760,9.16358,0.00494184,0.0320755,3.21465,0.0049168,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1770,9.13971,0.00493936,0.0301887,3.20293,0.00490691,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,1780,9.22457,0.0049596,0.0330189,3.2257,0.00494143,0.075
