fixed,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,10,0.005,100,500,0.99,3,2,7,1,,1330,0.0157603,0.0067077,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,1340,0.0439174,0.0158806,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1350,0.044151,0.0163272,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1360,0.0544044,0.0176102,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1370,0.0207448,0.0100105,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,1380,0.034737,0.0132744,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1390,0.00971213,0.00448858,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,1400,0.0631229,0.0194988,0.96
True,10,0.005,100,500,0.99,3,2,7,1,,1410,0.0432004,0.0166773,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1420,0.0279422,0.0127424,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1430,0.0464786,0.0176275,0.97
True,10,0.005,100,500,0.99,3,2,7,1,,1440,0.0178019,0.00760994,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,1450,0.0200329,0.00876395,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,1460,0.017623,0.00853248,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,1470,0.0585558,0.0188043,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1480,0.0199986,0.0104709,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,1490,0.0173277,0.00749552,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,1500,0.0267535,0.0124557,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1510,1.17847,0.0359951,0.91
True,10,0.005,100,500,0.99,3,2,7,1,,1520,0.209973,0.0285455,0.94
True,10,0.005,100,500,0.99,3,2,7,1,,1530,0.215333,0.0311106,0.93
True,10,0.005,100,500,0.99,3,2,7,1,,1540,0.0861372,0.0188076,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1550,0.0368599,0.0136677,0.99
True,10,0.005,100,500,0.99,3,2,7,1,,1560,0.0453865,0.0164776,0.98
True,10,0.005,100,500,0.99,3,2,7,1,,1570,0.0135374,0.00708688,1.0
True,10,0.005,100,500,0.99,3,2,7,1,,1580,0.0225238,0.0111076,0.99
