fixed,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,10,0.005,100,500,0.99,3,2,7,1,100,1860,1.55188,0.0782225,0.5141
True,10,0.005,100,500,0.99,3,2,7,1,100,1870,1.45195,0.0760145,0.5459
True,10,0.005,100,500,0.99,3,2,7,1,100,1880,1.61197,0.0796587,0.5052
True,10,0.005,100,500,0.99,3,2,7,1,100,1890,1.33466,0.0728731,0.5951
True,10,0.005,100,500,0.99,3,2,7,1,100,1900,1.3339,0.0743826,0.6044
True,10,0.005,100,500,0.99,3,2,7,1,100,1910,1.29954,0.0727213,0.5973
True,10,0.005,100,500,0.99,3,2,7,1,100,1920,1.42469,0.0762146,0.5528
True,10,0.005,100,500,0.99,3,2,7,1,100,1930,1.23698,0.0706663,0.614
True,10,0.005,100,500,0.99,3,2,7,1,100,1940,1.00354,0.0671754,0.6818
True,10,0.005,100,500,0.99,3,2,7,1,100,1950,1.02118,0.0665939,0.6771
True,10,0.005,100,500,0.99,3,2,7,1,100,1960,0.878864,0.0614601,0.737
True,10,0.005,100,500,0.99,3,2,7,1,100,1970,0.76209,0.0596476,0.7463
True,10,0.005,100,500,0.99,3,2,7,1,100,1980,0.688795,0.0570286,0.7688
True,10,0.005,100,500,0.99,3,2,7,1,100,1990,0.711527,0.0577187,0.7585
True,10,0.005,100,500,0.99,3,2,7,1,100,2000,0.711472,0.0580711,0.7571
True,10,0.005,100,500,0.99,3,2,7,1,100,2010,2.57677,0.0830501,0.4681
True,10,0.005,100,500,0.99,3,2,7,1,100,2020,1.54975,0.0794297,0.5067
True,10,0.005,100,500,0.99,3,2,7,1,100,2030,1.12411,0.0701451,0.6542
True,10,0.005,100,500,0.99,3,2,7,1,100,2040,1.03,0.0675485,0.651
True,10,0.005,100,500,0.99,3,2,7,1,100,2050,0.977954,0.0671883,0.6583
True,10,0.005,100,500,0.99,3,2,7,1,100,2060,0.823981,0.0631053,0.6869
